Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
RU35013NJG0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,1000700,40028,098,RU000A0ZZUT6,17.05.2023
RU35014NJG0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,958600,9586,098,RU000A101665,08.06.2023
RU35015NJG0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,925900,9259,098,RU000A102DS6,19.08.2024
RU35016NJG0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ,1032300,"1 032,3",098,RU000A1043K9,17.11.2025
RU34019ANO0,НОВОСИБИРСКАЯ ОБЛАСТЬ,990200,4951,098,RU000A0ZZPB4,14.04.2023
RU34020ANO0,НОВОСИБИРСКАЯ ОБЛАСТЬ,981700,9817,098,RU000A1011Q3,14.04.2023
RU34021ANO0,НОВОСИБИРСКАЯ ОБЛАСТЬ,951500,9515,098,RU000A102895,10.04.2024
RU35003AOR0,ОРЕНБУРГСКАЯ ОБЛАСТЬ,1080300,64818,098,RU000A0JVM81,05.07.2023
RU35004AOR0,ОРЕНБУРГСКАЯ ОБЛАСТЬ,968200,9682,098,RU000A0ZYKH5,03.09.2025
RU25072MOS0,ПРАВИТЕЛЬСТВО Г. МОСКВЫ,979600,9796,098,RU000A1030S9,22.04.2024
RU25073MOS0,ПРАВИТЕЛЬСТВО Г. МОСКВЫ,971100,9711,098,RU000A1030T7,20.04.2026
RU26074MOS0,ПРАВИТЕЛЬСТВО Г. МОСКВЫ,917400,9174,098,RU000A1033Z8,17.05.2028
RU34011BAS0,РЕСПУБЛИКА БАШКОРТОСТАН,940500,9405,098,RU000A1026B3,26.09.2023
RU34012BAS0,РЕСПУБЛИКА БАШКОРТОСТАН,973700,9737,098,RU000A103DN5,08.07.2024
RU35014KOM0,РЕСПУБЛИКА КОМИ,997800,9978,098,RU000A0JXUD9,20.03.2023
RU35009RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),999100,449595,098,RU000A0JXR43,10.05.2023
RU35010RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),976500,5859,098,RU000A0ZZ7E6,16.08.2023
RU35011RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),995000,6965,098,RU000A0ZZNJ2,22.02.2023
RU35012RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),995900,79672,098,RU000A100CN3,15.08.2023
RU35013RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),931700,74536,098,RU000A1010D3,04.08.2023
RU35014RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),933000,6531,098,RU000A101P27,15.12.2022
RU35015RSY0,РЕСПУБЛИКА САХА (ЯКУТИЯ),951800,85662,098,RU000A1033B9,10.11.2023
RU35012SAM0,САМАРСКАЯ ОБЛАСТЬ,1008800,5044,098,RU000A0JWM56,21.09.2023
RU35014SAM0,САМАРСКАЯ ОБЛАСТЬ,950800,57048,098,RU000A0ZZ9P8,06.12.2023
RU35015SAM0,САМАРСКАЯ ОБЛАСТЬ,958600,67102,098,RU000A1020L5,01.11.2024
RU34007SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,946000,946,098,RU000A101UG7,22.12.2023
RU34010SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,971000,6797,098,RU000A102DQ0,20.11.2023
RU35003SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,1019400,40776,098,RU000A0JWZ77,16.11.2023
RU35004SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,975100,58506,098,RU000A0ZYDU3,20.10.2023
RU35005SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,999600,59976,098,RU000A0ZZQH9,16.12.2022
RU35006SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,944800,9448,098,RU000A1016N9,11.12.2023
RU35008SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,910100,9101,098,RU000A101Z17,23.07.2025
RU35009SVS0,СВЕРДЛОВСКАЯ ОБЛАСТЬ,911200,9112,098,RU000A102CT6,14.11.2023
RU35003STV0,СТАВРОПОЛЬСКИЙ КРАЙ,1016200,25405,098,RU000A0JWY29,03.11.2023
RU35004STV0,СТАВРОПОЛЬСКИЙ КРАЙ,934500,9345,098,RU000A102H34,11.09.2023
RU35002TMB0,ТАМБОВСКАЯ ОБЛАСТЬ,1007700,50385,098,RU000A0JWT75,20.12.2022
RU35003TMB0,ТАМБОВСКАЯ ОБЛАСТЬ,977000,4885,098,RU000A0JXVH8,12.10.2023
RU35001HMN0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ-ЮГРА,1000900,40036,098,RU000A0JX215,16.12.2022
RU35002HMN0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ-ЮГРА,987900,69153,098,RU000A0ZYKW4,19.12.2022
RU35001CLB0,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,933000,933,098,RU000A102FV5,04.09.2023
RU35002YML0,ЯМАЛО-НЕНЕЦКИЙ АО,1016100,50805,098,RU000A0JX0Z8,05.12.2023
RU35014YRS0,ЯРОСЛАВСКАЯ ОБЛАСТЬ,1011600,20232,098,RU000A0JWHN7,18.05.2023
RU35015YRS0,ЯРОСЛАВСКАЯ ОБЛАСТЬ,984600,9846,098,RU000A0JXS83,23.10.2023
Облигации с ипотечным покрытием,Облигации с ипотечным покрытием,Облигации с ипотечным покрытием,Облигации с ипотечным покрытием,Облигации с ипотечным покрытием,Облигации с ипотечным покрытием,
41403338B,"АО ""КБ ДЕЛЬТАКРЕДИТ""",1029800,30894,095,RU000A0JUJG1,26.12.2022
4-01-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",787367,19950305046,09,RU000A0JXRM6,27.12.2022
4-02-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",1041200,10901364,09,RU000A0ZYJT2,27.01.2023
4-03-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",1018900,132467189,09,RU000A0ZYLX0,27.01.2023
4-03-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",838033,8101265011,09,RU000A0ZYL89,27.01.2023
4-04-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",751067,25114178346,09,RU000A1019A0,27.02.2023
4-04-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",948700,202661294,09,RU000A0ZZNW5,27.12.2022
4-05-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",897100,377472767,09,RU000A101JD7,27.01.2023
4-05-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",927300,231101706,09,RU000A0ZZCH9,27.01.2023
